Plot,Treatment,CF14_Seeds,CF14_AWeight,CF14_Date,CF14_Day,CM14_Seeds,CM14_AWeight,CM14_Date,CM14_Day,CM15_DiscDiameter,CM15_RayDiameter,RDN15_Seeds,RDN15_AWeight,SW15_Seeds,SW15_AWeight,CW15_Seeds,CW15_AWeight,CF15_Seeds,CF15_AWeight,CM15_Seeds,CM15_AWeight,CM15_Date,CM15_Day,CF15_Nectar,RDN15_Nectar,SW15_Nectar
7,Heat+Water,24,0.002441667,15/07/2014,196,181,0.001067403,31/07/2014,212,15.9,41.5,4,0.000525,11,0.000318182,14,0.000442857,20,0.00304,274,0.001308759,10/08/2015,222,0.066978193,0.336448598,0.056074766
7,Heat+Water,27,0.003077778,15/07/2014,196,201,0.001525373,31/07/2014,212,14,31.9,4,0.00085,12,0.000533333,15,0.000426667,2,0.00405,278,0.001811871,10/08/2015,222,0.172897196,0.42211838,NA
7,Heat+Water,25,0.003656,15/07/2014,196,186,0.001641935,31/07/2014,212,13.3,33.2,4,0.000975,9,0.000266667,13,0.0005,29,0.003955172,285,0.001144211,10/08/2015,222,0.102803738,NA,NA
7,Heat+Water,27,0.003325926,15/07/2014,196,246,0.001373984,14/08/2014,226,11.2,37.3,4,0.000975,19,0.0004,8,0.000475,NA,NA,270,0.001528148,13/08/2015,225,0.144859813,NA,NA
7,Heat+Water,32,0.002903125,15/07/2014,196,130,0.000941538,14/08/2014,226,11.5,31.8,4,0.000975,20,0.00016,6,0.000366667,NA,NA,266,0.001872932,13/08/2015,225,NA,NA,NA
7,Heat+Water,25,0.004456,23/07/2014,204,247,0.001488259,14/08/2014,226,12.4,35.3,NA,NA,NA,NA,NA,NA,NA,NA,195,0.001668205,13/08/2015,225,NA,NA,NA
7,Heat+Water,26,0.003876923,23/07/2014,204,NA,NA,NA,NA,11.4,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Heat+Water,16,0.00524375,23/07/2014,204,NA,NA,NA,NA,13.6,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Heat+Water,17,0.004476471,23/07/2014,204,NA,NA,NA,NA,15.8,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Heat+Water,23,0.004704348,23/07/2014,204,NA,NA,NA,NA,14.3,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Heat,18,0.003338889,15/07/2014,196,60,0.00187,31/07/2014,212,9.9,25.1,3,0.0005,NA,NA,NA,NA,23,0.002213043,252,0.000752381,10/08/2015,222,0.088785047,NA,0.051557632
8,Heat,26,0.004023077,15/07/2014,196,113,0.001338053,31/07/2014,212,11.1,30.5,4,0.00055,19,0.004947368,11,0.000390909,20,0.00276,313,0.001613099,10/08/2015,222,0.102803738,NA,0.043613707
8,Heat,24,0.004316667,15/07/2014,196,181,0.001360773,31/07/2014,212,14.4,36.9,4,0.000575,21,0.000647619,14,0.000471429,NA,NA,342,0.001095614,10/08/2015,222,0.043613707,NA,NA
8,Heat,22,0.002040909,15/07/2014,196,121,0.000980165,14/08/2014,226,13.4,38.6,4,0.000725,22,0.000654545,14,0.000371429,NA,NA,218,0.001553211,13/08/2015,225,0.063862928,NA,NA
8,Heat,18,0.003238889,15/07/2014,196,138,0.001273913,14/08/2014,226,13.6,33.2,4,0.0007,12,0.000683333,19,0.000421053,NA,NA,219,0.001375799,13/08/2015,225,NA,NA,NA
8,Heat,22,0.004281818,23/07/2014,204,123,0.001303252,14/08/2014,226,12.9,37.2,NA,NA,NA,NA,NA,NA,NA,NA,155,0.000967097,13/08/2015,225,NA,NA,NA
8,Heat,19,0.003542105,23/07/2014,204,NA,NA,NA,NA,12.8,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Heat,21,0.004719048,23/07/2014,204,NA,NA,NA,NA,12,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Heat,17,0.003547059,23/07/2014,204,NA,NA,NA,NA,13.1,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Heat,9,0.002711111,23/07/2014,204,NA,NA,NA,NA,13.9,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
